,0,1,2,3,4,5,6,7,8,9,10,11
0,0.526386904,0.6981768408,2.443415812,2.61520575,,,,,,,,
1,0.5251876668,0.6973642464,2.444228408,2.616404986,,,,,,,,
2,0.524183538,0.6968003184,2.444792336,2.617409116,,,,,,,,
3,0.523029269,0.6960234382,2.445569216,2.618563384,,,,,,,,
4,0.5219556242,0.6953486922,2.446243962,2.61963703,,,,,,,,
5,0.52083561,0.694652177,2.446940476,2.620757044,,,,,,,,
6,0.5198007708,0.6940133446,2.447579308,2.621791882,,,,,,,,
7,0.5187250814,0.6932683162,2.448324338,2.622867572,,,,,,,,
8,0.5176436928,0.6925731926,2.44901946,2.62394896,,,,,,,,
9,0.5165396538,0.691848539,2.449744114,2.625053,,,,,,,,
10,0.5154792426,0.6911810422,2.450411612,2.62611341,,,,,,,,
11,0.5143775294,0.6904405788,2.451152074,2.627215124,,,,,,,,
12,0.5133162776,0.6897638408,2.451828812,2.628276376,,,,,,,,
13,0.5123102984,0.689105445,2.452487208,2.629282356,,,,,,,,
14,0.5111773586,0.6884357606,2.453156894,2.630415294,,,,,,,,
15,0.5100522822,0.6876060258,2.453986628,2.631540372,,,,,,,,
16,0.5089659746,0.6869147386,2.454677916,2.632626678,,,,,,,,
17,0.5080006378,0.6862734616,2.455319192,2.633592016,,,,,,,,
18,0.506966796,0.6856056514,2.455987002,2.634625858,,,,,,,,
19,0.5059689888,0.684970921,2.456621732,2.635623664,,,,,,,,
20,0.5050156398,0.6843337916,2.457258862,2.636577014,,,,,,,,
21,0.5037656056,0.6834457154,2.458146938,2.637827048,,,,,,,,
22,0.5028158758,0.6828714316,2.458721222,2.638776778,,,,,,,,
23,0.5016801134,0.6820222468,2.459570406,2.63991254,,,,,,,,
24,0.5007811732,0.681473972,2.460118682,2.64081148,,,,,,,,
25,0.4996630262,0.6806161094,2.460976544,2.641929628,,,,,,,,
26,0.4986520898,0.680047081,2.461545572,2.642940564,,,,,,,,
27,0.4976897356,0.6793219486,2.462270704,2.643902918,,,,,,,,
