,instance,IKS,theta1,theta2,theta3,theta4,theta5,theta6
0,1.0,1.0,-2.8881091558096466,-0.41472154004296324,2.611957219858594,-2.786965720881708,3.0263443797838097,-0.3339430550101863
1,1.0,2.0,-0.2034669769973907,-2.72229756605609,0.7287940871541038,-2.5855179630168736,2.9842426509343554,2.184953334979398
2,1.0,3.0,0.18617385353785235,-2.726041607027631,0.5428337638264443,0.22970528723953962,3.043502621750637,-0.28549801014848014
3,1.0,4.0,3.010607101259559,-0.4211291974136382,2.4305013844431103,0.5354892023300131,3.0177993908252727,2.256009191208501
4,2.0,1.0,-2.8909082445720906,-0.41464976712752305,2.611131586735027,-2.7903304544593106,3.0275086539419944,-0.3340269753833783
5,2.0,2.0,-0.20630641590375232,-2.722252968772288,0.7291912440774799,-2.5834875878919563,2.9833491563399708,2.1806955777464596
6,2.0,3.0,0.18334572174921018,-2.726104649141646,0.5439690634893382,0.22500945808116085,3.0450243543456406,-0.28447680671712544
7,2.0,4.0,3.0078010576050254,-0.42117820106401394,2.430011194572719,0.5378924201597869,3.0168556120207812,2.251434907358313
8,3.0,1.0,-2.893708058711907,-0.41457927950840495,2.610302625857281,-2.7937498578952713,3.028676175550366,-0.33405828388824305
9,3.0,2.0,-0.20914242143212367,-2.722206351593632,0.7295790935036377,-2.5814501779768775,2.9824665111743567,2.1764276471732416
10,3.0,3.0,0.1805161659424588,-2.7261662240017683,0.5451200567048647,0.2202067297592711,3.0465633310736755,-0.28335937538153155
11,3.0,4.0,3.0049977618582644,-0.4212290131771804,2.4295307220186833,0.5403003821011612,3.0159226506444683,2.246852255010423
12,4.0,1.0,-2.896508584464765,-0.414510089372353,2.6094700646342446,-2.7972250452351437,3.029847222552539,-0.3340360141570611
13,4.0,2.0,-0.21197492466556234,-2.7221577135555846,0.7299576456686359,-2.5794056395888116,2.981594710067712,2.1721495087197225
14,4.0,3.0,0.17768514263752463,-2.7262263050749134,0.5462879461970167,0.21529199715831224,3.0481209208215767,-0.2821414350864794
15,4.0,4.0,3.0021972874525096,-0.4212816359024307,2.429059941140596,0.5427132540839282,3.0150004826602292,2.2422611426529455
16,5.0,1.0,-2.8993098094553673,-0.41444220897598244,2.608633617886179,-2.8007571834203584,3.0310220875301015,-0.3339591570283121
17,5.0,2.0,-0.2148038566870199,-2.7221070540976458,0.7303269110416302,-2.577353878163628,2.9807337469211967,2.167861127204578
18,5.0,3.0,0.17485260141361836,-2.7262848643577855,0.5474740504666366,0.2102596579176753,3.049698629191234,-0.2808182922288956
19,5.0,4.0,2.999399707779221,-0.4213360709785735,2.428598826545846,0.5451312008453675,3.0140890838859713,2.2376614800309507
20,6.0,1.0,-2.902111722752052,-0.4143756506433328,2.6077929869868295,-2.80434749613016,3.032201078739415,-0.33382665676468737
21,6.0,2.0,-0.21762914858216706,-2.7220543730755304,0.7306869003316908,-2.575294798137642,2.979883614889617,2.1635624670314155
22,6.0,3.0,0.1720184840524554,-2.726341872160761,0.5486798204168202,0.2051035407295167,3.0512981182476056,-0.27938478100125835
23,6.0,4.0,2.9966050961887327,-0.421392319733534,2.428147353071283,0.5475543860372984,3.013188429970123,2.2330531780995573
24,7.0,1.0,-2.9049143149257177,-0.4143104267774524,2.6069478588682364,-2.807997268122379,3.0333845212914485,-0.3336374072887423
25,7.0,2.0,-0.22045073144249244,-2.721999670763295,0.7310376244887478,-2.5732283029134333,2.979044306376267,2.1592534922165263
26,7.0,3.0,0.1691827235233556,-2.7263972968509282,0.5499068591848997,0.1998168198058988,3.0529212300864104,-0.27783519226566716
27,7.0,4.0,2.9938135259906895,-0.4214503830848343,2.4277054957664843,0.5499829723212684,3.012298496370491,2.2284361489575533
28,8.0,1.0,-2.907717578113582,-0.4142465498876361,2.606097904869603,-2.811707850143169,3.0345727584950097,-0.33339024846473
29,8.0,2.0,-0.2232685363685925,-2.721942947846968,0.7313790946999102,-2.571154294894763,2.978215813037448,2.1549341662551784
30,8.0,3.0,0.16634524277180765,-2.726451104543194,0.5511569459761937,0.19439191209225073,3.0545700151691757,-0.27616318818024826
31,8.0,4.0,2.99102507045424,-0.4215102615413824,2.4272732298788022,0.5524171214483946,3.011419258335898,2.223810305751942
32,9.0,1.0,-2.9105215060876253,-0.4141840326144432,2.605242779486438,-2.8154806642939043,3.0357661533235154,-0.333083961888579
33,9.0,2.0,-0.2260824944734185,-2.7218842054168304,0.7317113223852337,-2.569072675530636,2.9773981257881927,2.1506044519676806
34,9.0,3.0,0.16350595326215914,-2.726503258729311,0.5524320649162282,0.18882035282035048,3.0562467666434525,-0.27436169882089106
35,9.0,4.0,2.9882398028081556,-0.42157195520518387,2.4268505308391233,0.5548569943372829,3.0105506908885626,2.219175562588995
36,10.0,1.0,-2.9133260943277803,-0.4141228877387348,2.6043821190615914,-2.8193172097758685,3.0369650899761003,-0.3327172657206955
37,10.0,2.0,-0.2288925368849415,-2.721823444976539,0.7320343192023474,-2.566983345220961,2.9765912347892907,2.146264311668668
38,10.0,3.0,0.16066475320946808,-2.726553719830823,0.5537344402645532,0.18309264358373128,3.057954062256477,-0.272422795852417
39,10.0,4.0,2.98545779624105,-0.4216354637713218,2.426437374247147,0.5573027511654087,3.0096927688049524,2.2145318344919263
40,11.0,1.0,-2.9161313401009754,-0.4140631281877527,2.603515540353778,-2.823219069197177,3.038169975590255,-0.33228880884682926
