,instance,IKS,theta1,theta2,theta3,theta4,theta5,theta6
0,1.0,1.0,-2.8908415215034244,-0.41539929494081423,2.4438400238408446,2.752532147726906,-3.0401497289719055,0.2802232703977604
1,1.0,2.0,-0.2070236671599652,-2.723104924577616,0.49127345317799126,2.6173022547600273,-2.971567810566329,3.0662776250614243
2,1.0,3.0,0.18043689785515307,-2.7246643760008906,0.6695943498504567,-0.326741961416237,-3.0818967072358094,0.1738138744008465
3,1.0,4.0,3.0006756350602655,-0.41895509689421506,2.64562990835982,-0.4364432678174214,-2.9787841015980083,3.048324867840265
4,2.0,1.0,-2.8935876898230792,-0.41531541381877685,2.444531110628158,2.756257678327746,-3.041171520577791,0.27442636064235526
5,2.0,2.0,-0.2098258453623097,-2.723050755748138,0.4907753350142969,2.614821463668324,-2.9708541799544874,3.0655471823075557
6,2.0,3.0,0.17773259360973792,-2.7247550185171447,0.6685553916719024,-0.3216061498187252,-3.0832495125865798,0.1668270768858435
7,2.0,4.0,2.9978587771919525,-0.4190049234698692,2.6461946844220705,-0.43922309626377215,-2.9779891404113257,3.047835787921168
8,3.0,1.0,-2.8963375972693997,-0.4152335227062338,2.4452375953901826,2.760001738541894,-3.042210849704841,0.26861727931215246
9,3.0,2.0,-0.21262816873913287,-2.7229953945638243,0.49027427950092906,2.6123697570995756,-2.970137132366788,3.0647850683767337
10,3.0,3.0,0.17502588950952921,-2.7248440601785013,0.6674889398505931,-0.3163996291812416,-3.0846334245868587,0.15978475149883634
11,3.0,4.0,2.9950417907989197,-0.4190559501714415,2.6467617231931237,-0.44197152945799395,-2.9771911785159686,3.0473129847573426
12,4.0,1.0,-2.899091151699353,-0.4151536179468956,2.445959725515055,2.7637654610555966,-3.043267997864077,0.2627951313005816
13,4.0,2.0,-0.21543061762093263,-2.722938848009712,0.48977024903345656,2.609947033961295,-2.9694166606714356,3.063991395115084
14,4.0,3.0,0.17231693470544113,-2.7249315193222445,0.6663938180656503,-0.31111727506963377,-3.0860498154418887,0.15268268780003377
15,4.0,4.0,2.9922246903079737,-0.4191081689650626,2.647331078970489,-0.44468873989208346,-2.9763901903274994,3.0467566260854295
16,5.0,1.0,-2.901848260271817,-0.41507569527955435,2.446697760600609,2.7675500310006456,-3.0443432603403346,0.2569589779155956
17,5.0,2.0,-0.21823317155797686,-2.722881123191169,0.4892632061664519,2.6075531927450593,-2.9686927578633493,3.0631662759213385
18,5.0,3.0,0.16960588454252706,-2.725017416285837,0.6652687345438674,-0.3057534662566255,-3.087500193278731,0.1455162620753137
19,5.0,4.0,2.9894074910218427,-0.41916157170864204,2.6479028054654767,-0.4473748984182954,-2.9755861509054964,3.046166879248026
20,6.0,1.0,-2.9046088294027883,-0.41499974981158794,2.4474519733596294,2.7713566897997075,-3.0454369472475085,0.2511078331270044
21,6.0,2.0,-0.22103580932812802,-2.72282222735272,0.4887531135620834,2.605188131401564,-2.9679654170281324,3.0623098254451335
22,6.0,3.0,0.16689290140733917,-2.7251017736244756,0.6641122654291727,-0.30030201301109904,-3.088986221895102,0.1382803776351107
23,6.0,4.0,2.9865902091083467,-0.419216150147505,2.6484769558247923,-0.4500301743648325,-2.974779035928827,3.0455439112459133
24,7.0,1.0,-2.9073727647161967,-0.41492577600157826,2.4482226506268323,2.7751867395132153,-3.046549384711954,0.24524065979585774
25,7.0,2.0,-0.22383850894447313,-2.722762167883061,0.4882399339816871,2.602851747297235,-2.9672346313335285,3.0614221595472215
26,7.0,3.0,0.164178155733485,-2.7251846163680513,0.6629228349473848,-0.2947560715569469,-3.090509744327296,0.13096939365277113
27,7.0,4.0,2.9837728615896792,-0.4192718959111868,2.649053582647712,-0.45265473563958686,-2.973968821674267,3.044887888806751
28,8.0,1.0,-2.910139970989817,-0.4148537676522943,2.449010094481927,2.779041547758776,-3.0476809162026406,0.2393563659160124
29,8.0,2.0,-0.22664124766284235,-2.72270095230848,0.4877236303130117,2.6005439372372336,-2.9665003940432255,3.0605033954743934
30,8.0,3.0,0.16146182720379929,-2.7252659723259844,0.6616986915750768,-0.2891080412775572,-3.0920728111831446,0.12357703980197655
31,8.0,4.0,2.980955466331841,-0.4193288005119594,2.649632737997092,-0.45524874881879634,-2.973155484999572,3.0441989784804604
32,9.0,1.0,-2.9129103520964263,-0.4147837178996629,2.4498146234824034,2.7829225530859687,-3.0488319039893033,0.2334538003782447
33,9.0,2.0,-0.22944400198944528,-2.7226385882844375,0.4872041656027383,2.5982645974981007,-2.9657626985336245,3.059553652063007
34,9.0,3.0,0.15874410619847207,-2.725345872454438,0.660437879189243,-0.2833494402609193,-3.093677714960651,0.11609631289501769
35,9.0,4.0,2.97813804203406,-0.4193868553432872,2.6502144734101316,-0.45781237923261897,-2.972339003326911,3.0434773467275567
36,10.0,1.0,-2.9156838109401515,-0.41471561918629174,2.4506365740030156,2.786831270721791,-3.050002730715576,0.22753174781796168
37,10.0,2.0,-0.23224674768915327,-2.7225750836104416,0.4866815030172372,2.596013623730181,-2.9650215382656007,3.058573049506945
38,10.0,3.0,0.15602519555409214,-2.7254243513044782,0.6591382018478811,-0.27747075337060606,-3.0953270319633988,0.10851935050678527
39,10.0,4.0,2.975320608218026,-0.41944605167604326,2.650798839915887,-0.4603457910613634,-2.971519354621952,3.042723159960982
40,11.0,1.0,-2.9184602493868783,-0.4146494632296044,2.4514763017110353,2.790769298876508,-3.0511938011295823,0.22158892279795886
41,11.0,2.0,-0.2350494597939764,-2.722510446248152,0.48615560579375333,2.593790910845122,-2.9642769067507255,3.0575617090694753
